text,label
"Astronomia - miesięcznik skierowany przede wszystkim do miłośników astronomii. Pierwotnie ukazywał się pod nazwą ""Astronomia Amatorska"", od stycznia 2014 roku funkcjonuje pod obecną nazwą. Pierwszy numer czasopisma ukazał się w lipcu 2012 roku. Od listopada 2017 wydawcą i właścicielem magazynu jest firma Apogee Games Mariusz Kulma. 
W miesięczniku można znaleźć m.in. najnowsze doniesienia ze świata astronomii i astronautyki, informacje na temat aktualnie zachodzących zjawisk na niebie, opisy obiektów do obserwacji, artykuły dla obserwatorów nieba, artykuły o historii astronomii, efemerydy i in.",astronomia
"Europejskie Obserwatorium Południowe (ang. European Southern Observatory - ESO) - międzynarodowa organizacja zrzeszająca europejskie kraje, powołana w 1962 roku w celu budowy i utrzymywania obserwatoriów astronomicznych na półkuli południowej.
Historia.
Początki ESO sięgają roku 1953, kiedy astronom Walter Baade zaproponował wybudowanie wspólnego obserwatorium dla europejskich astronomów. Po latach dyskusji i spotkań, 5 października 1962 roku pięć krajów podpisało konwencję o ESO. Były to: Belgia, Francja, Holandia, Niemcy i Szwecja. Wielka Brytania początkowo zaangażowana w ten pomysł nie przystąpiła do tego projektu. Uczyniła to dopiero w 2002 roku. Jako lokalizację rozważano teren w Republice Południowej Afryki. Ostatecznie wybrano Chile w Ameryce Południowej. Organizacja kupiła od rządu Chile 627 km2 terenu i w 1969 roku oficjalnie otwarto pierwsze obserwatorium na górze La Silla. Jednak pierwsze teleskopy obserwatorium rozpoczęły pracę wcześniej. Obserwatorium to nadal działa (informacja z 2015). Kolejne obserwatorium ESO otworzyło w 1999 roku. W Obserwatorium Paranal umieszczone zostały cztery teleskopy VLT, wsparte kilkoma innymi teleskopami.
Chile to teren, na którym występują silne trzęsienia ziemi. Teleskopy ESO są tak skonstruowane, żeby były odporne na wstrząsy sejsmiczne.
ESO obecnie.
Instytucja jest jedną z największych i najbardziej liczących się organizacji do badań astronomicznych. Dysponuje około 140 mln euro rocznych składek od krajów członkowskich. Zatrudnia około 700 osób - naukowców, inżynierów, informatyków oraz personel techniczny i administracyjny.
Główna siedziba organizacji mieści się w niemieckiej miejscowości Garching niedaleko Monachium (Niemcy). Pełna nazwa organizacji brzmi Europejska Organizacja do Badań Astronomicznych na Półkuli Południowej. Jest to naukowe, techniczne i administracyjne centrum ESO. Organizacja posiada także biuro w Santiago w Chile. Większość urządzeń obserwacyjnych znajduje się w Chile. Do ESO należą trzy obserwatoria w rejonie tamtejszej pustyni Atakama:
Misja ESO.
Istotą misji jest wspieranie współpracy w astronomii. Organizacja odegrała wiodąca rolę w tworzeniu Europejskiego Obszaru Badań (European Research Area) dla astronomii i astrofizyki.Co roku wielu astronomów z krajów członkowskich i spoza nich prowadzi badania, korzystając z danych zebranych w obserwatoriach ESO. Astronomowie często tworzą międzynarodowe zespoły, a uzyskane wyniki są publikowane w setkach artykułów naukowych rocznie.Organizacja prowadzi program staży dla młodych astronomów ze stopniem doktora oraz studentów. Starsi naukowcy pracują okresowo jako goście w placówkach ESO. Dodatkowo ESO posiada aktywny program międzynarodowych konferencji dotyczących czołowych tematów badań astronomicznych i technologii oraz udziela wsparcia logistycznego czasopismu ""Astronomy and Astrophysics"".Aby udostępnić użytkownikom coraz lepsze teleskopy i inne instrumenty astronomiczne, ESO ściśle współpracuje z wieloma europejskimi firmami z przemysłu nowoczesnych technologii. Dzięki temu astronomowie są w dużym stopniu zaangażowani w planowanie i budowę instrumentów naukowych do obecnych i planowanych teleskopów.
Przepływ danych.
Wszystkie zgromadzone dane naukowe i kalibracyjne są przechowywane w Archiwum Naukowym ESO. Obejmuje kompletny zestaw wszystkich obserwacji uzyskanych od początku działalności VLT, interferometru VLTI oraz teleskopów VISTA i VST. Zawiera również obserwacje wykonane teleskopami w La Silla oraz submilimetrowym radioteleskopem APEX na Chajnantor. Obserwacje przechowywane w archiwum stają się dostępne (zazwyczaj) publicznie po roku od ich wykonania. Pozwala to na ich wykorzystanie przez innych naukowców.
Prowadzenie obserwacji.
Proces obserwacji rozpoczyna się gdy astronomowie z całego świata nadsyłają opis proponowanych projektów. Wnioski są recenzowane przez ekspertów, a zaaprobowane projekty są poszerzane o dokładny opis obserwacji, które należy wykonać. Tradycyjnym sposobem prowadzenia obserwacji jest przydzielenie określonych dni, w których astronomowie muszą pojechać do teleskopu i osobiście przeprowadzić, przy pomocy personelu obserwatorium, obserwacje.
Odkrycia naukowe ESO.
10 najważniejszych odkryć astronomicznych (stan na październik 2014).",astronomia
"Jacobus Cornelius Kapteyn (ur. 19 stycznia 1851 w Barneveld, zm. 18 czerwca 1922 w Amsterdamie) - holenderski astronom, najbardziej znany z dogłębnych badań Drogi Mlecznej, które doprowadziły do odkrycia jej ruchu obrotowego.
Życiorys.
Od roku 1868 Kapteyn studiował matematykę i fizykę na Uniwersytecie w Utrechcie. Po ukończeniu w 1875 r. pracy dyplomowej na temat drgań membrany przez trzy lata pracował w obserwatorium w Lejdzie, nim został pierwszym profesorem astronomii i mechaniki teoretycznej na Uniwersytecie w Groningen, gdzie pozostawał do przejścia na emeryturę w 1921 r.
W latach 1896-1900 z powodu braku dostępu do obserwatorium Kapteyn zgłosił się do analizy zdjęć wykonanych przez Davida Gilla, który w Królewskim Obserwatorium na Przylądku Dobrej Nadziei (RPA) prowadził fotograficzny przegląd gwiazd nieba południowego. Rezultatem tej współpracy było opublikowanie trzytomowego ""Cape Photographic Durchmusterung"" (Fotograficzny przegląd nieba z Przylądka), spisu pozycji i jasności 454 875 gwiazd. Dodatkowo w 1897 r. Kapteyn odkrył nazwaną jego nazwiskiem gwiazdę, mającą największą ze znanych wówczas prędkość ruchu własnego. Obecnie jest ona na drugim miejscu, zaraz za Gwiazdą Barnarda.
W 1902 r. otrzymał Złoty Medal Królewskiego Towarzystwa Astronomicznego.
W 1904 r., badając ruchy własne gwiazd, Kapteyn zauważył, że nie są one przypadkowe, jak wówczas sądzono. Spostrzegł, że wszystkie gwiazdy można podzielić na dwie grupy, poruszające się w niemal przeciwnych kierunkach. Zebrane przez niego dane okazały się pierwszym świadectwem rotacji Galaktyki i pozwoliły na późniejsze udowodnienie przez Bertila Lindblada i Jana Oorta ruchu obrotowego wszystkich galaktyk.
W 1906 r. Kapteyn zainicjował zakrojony na szeroką skalę program badań rozmieszczenia gwiazd w Galaktyce. Plan zakładał pomiar jasności, typu widmowego, prędkości radialnej, ruchów własnych i paralaks gwiazd w 206 polach, równomiernie rozmieszczonych na sferze niebieskiej (tzw. polach kapteynowskich) oraz 46 fragmentach nieba w pobliżu płaszczyzny Galaktyki. Ten nietypowy, jak na tamte czasy, projekt zaangażował ponad 40 obserwatoriów w różnych krajach i był pierwszą analizą statystyczną w astronomii. Opublikowane w 1920 (artykuł w ""Astrophysical Journal"") i 1922 (""Pierwsza próba teorii położenia i ruchu systemu gwiezdnego"") roku wyniki prac pozwoliły na stworzenie modelu soczewkowatego Wszechświata (na początku XX stulecia nie wiedziano, czym w istocie jest Galaktyka) o średnicy 40 tys. lat świetlnych, którego gęstość maleje z dala od centrum. Słońce ulokowano 2000 lat świetlnych od środka. Teoria częściowo sprawdzała się, lecz zafałszowywała rzeczywiste rozmiary Drogi Mlecznej i położenie w niej Słońca.
W środowisku astronomów Kapteyn zajmował bardzo wysoką pozycję. Był członkiem Francuskiej Akademii Nauk, brytyjskiego Royal Society oraz jednym z założycieli Międzynarodowej Unii Astronomicznej. Odszedł na emeryturę w wieku 70 lat, jednak powrócił do Leiden na prośbę swego byłego studenta i dyrektora tamtejszego obserwatorium Willema de Sittera, by asystować w prowadzonej właśnie modernizacji sprzętu. Na jego cześć nazwano laboratorium astronomiczne na Uniwersytecie w Groningen, a także metrowy teleskop zamontowany na początku lat osiemdziesiątych XX wieku w obserwatorium na Wyspach Kanaryjskich.",astronomia
"Łuna 2 - bezzałogowa sonda kosmiczna wystrzelona przez ZSRR. Celem jej było zderzenie się z powierzchnią Księżyca. Misja zakończyła się sukcesem. Łuna 2 była pierwszym statkiem, który zderzył się z Księżycem.
Opis misji.
Łuna 2 była drugim radzieckim statkiem mającym trafić w Księżyc i pierwszym, któremu się to udało. Po starcie i uzyskaniu prędkości ucieczkowej, 12 września (13 września czasu moskiewskiego), Łuna 2 odrzuciła trzeci stopień rakiety nośnej, który podążał za nią aż w pobliże Księżyca. Tego samego dnia statek wypuścił pomarańczową chmurę sodu, która umożliwiła śledzenie statku oraz badanie rozprzestrzeniania się gazu w przestrzeni kosmicznej. 13 września, po 33,5 godzinie lotu, radiowy sygnał emitowany przez Łunę 2 urwał się nagle, oznajmiając tym samym uderzenie sondy w powierzchnię Księżyca. Miejsce zderzenia miało współrzędne selenograficzne: 29,1° N, 0° (Mare Serenitatis, koło kraterów Aristides i Archimedes). Około 30 minut później w Księżyc uderzył trzeci stopień rakiety nośnej, która wyniosła Łunę 2. Przeprowadzone pomiary potwierdziły fakt braku księżycowego pola magnetycznego i księżycowych pasów radiacyjnych oraz istnienie wiatru słonecznego.
Statek miał pozostawić na Księżycu dwie tytanowe kule (o średnicach 7,5 i 12 cm). Były one wypełnione materiałem wybuchowym. Jego eksplozja miała rozerwać kule i rozrzucić na powierzchni pamiątkowe pięciokąty, z których zbudowane były obie kule. Każdy z pięciokątów nosił inskrypcję: ""Wrzesień 1959, ZSRR"", oraz godło ZSRR z sierpem i młotem. Ostatni człon rakiety, który uderzył w Księżyc 30 minut po sondzie, zawierał aluminiowe paski. Zawierały one takie same napisy jak pięciokąty na kulach.
Łuna 2 i kule prawdopodobnie wyparowały. Statek uderzył w powierzchnię Srebrnego Globu z prędkością około 3,3 kms. Zakładając, że energia zderzenia przekształciła się w ciepło, temperatura w miejscu zderzenia mogła wynieść ponad 10 000 °C.
15 września 1959 premier ZSRR Nikita Chruszczow ofiarował prezydentowi USA Dwightowi D. Eisenhowerowi kopie ozdób wyniesionych przez Łunę 2.
Oznaczenia.
Udaną misję Łuny 2 poprzedziła jedna nieudana próba startu. Statek typu Łuna 2, który uległ zniszczeniu, oznacza się w chronologii lotów kosmicznych jako ""E-1 A 5"". Zobacz też: rakieta nośna Łuna 8 K72.
Budowa i działanie.
Statek miał kształt kuli. Z jednej z półkul wystawały cztery krótkie anteny oraz dłuższy od nich wysięgnik z magnetometrem. Statek nie posiadał własnego systemu napędowego. Zasilanie odbywało się z ogniwa chemicznego (srebro-cynk i rtęć).
Sonda obracała się z okresem 840 sekund, a okres precesji osi obrotu wynosił 86 sekund.
Sód był przechowywany w zbiorniku, pod ciśnieniem 1,3 atmosfery. Dzięki specjalnemu systemowi kontroli (ogrzewanie promieniami słonecznymi i wymuszona cyrkulacja gazu) jego temperatura nie przekroczyła 20 °C.
Do komunikacji z Ziemią statek używał dwóch częstotliwości. Na 19,993 MHz, z transmisją telegraficzną (0,5 - 0,8 sekundy), transmitowano dane z przyrządów naukowych. System telemetrii pracował na częstotliwości 183,6 MHz. Statek posiadał też prawdopodobnie odbiornik radiokomend, pracujący na częstotliwości 115 MHz.",astronomia
"Miranda (""Uran V"" ) - najmniejszy spośród pięciu głównych księżyców Urana. Miranda posiada najbardziej złożone struktury geologiczne spośród satelitów tej planety. Została odkryta przez Gerarda Kuipera w 1948 roku.
Do tej pory jedyne zdjęcia Mirandy w zbliżeniu pochodzą z sondy Voyager 2, która dokonała obserwacji księżyca w styczniu 1986 roku. Południowa półkula była wtedy skierowana w stronę Słońca, więc tylko ta część została sfotografowana. Sonda minęła Mirandę w odległości około km, co było największym zbliżeniem do jakiegokolwiek księżyca w trakcie całej misji i pozwoliło na uzyskanie zdjęć powierzchni w wysokiej rozdzielczości.
Charakterystyka fizyczna.
Powierzchnię Mirandy może pokrywać lód z małą ilością skał krzemianowych oraz związki organiczne zawierające metan. Licznie występują kaniony o głębokości dochodzącej do 20 km oraz regiony świadczące o wzmożonej w przeszłości aktywności geologicznej. Rozległe wyżłobione struktury mogą być wynikiem ogrzewania się lodu. Niska gęstość wskazuje, że lód jest głównym składnikiem wnętrza, zatem zalicza się ona do księżyców lodowych.
Wydaje się, że tak silna aktywność tego stosunkowo niewielkiego księżyca, spowodowana była przyciąganiem Urana. Zapewne w przeszłości Miranda znajdowała się w rezonansie orbitalnym 1:3 z Umbrielem, a jej orbita była bardziej ekscentryczna, co powodowało ogrzewanie wnętrza księżyca przez siły pływowe. W miarę ewolucji układu księżyc opuścił rezonans, a jego orbita stała się bliska kołowej, zachowując jednak nietypowe nachylenie. Inna, mniej prawdopodobna teoria sugeruje, że Miranda została uderzona przez masywny obiekt, który zniszczył jej powierzchnię. Fragmenty osiadły ponownie w innych miejscach, tworząc obecną, dziwną strukturę powierzchni.
Verona Rupes.
Miranda zawiera największy uskok w Układzie Słonecznym - Verona Rupes. Jego wysokość oszacowano na od 5 do nawet 20 km.",astronomia
"Meteoryt Morasko - krajobrazowo-leśny rezerwat przyrody utworzony 24 maja 1976 roku, położony w północnej części Poznania, na Morasku i graniczący bezpośrednio z Suchym Lasem. Na jego terenie mieszczą się kratery, które zdaniem większości badaczy powstały w wyniku upadku meteorytu Morasko ok. 5 tys. lat temu. Rezerwat podlega Nadleśnictwu Łopuchówko, bezpośrednią opiekę sprawuje leśnictwo Marianowo.
Rezerwat zajmuje powierzchnię 54,28 ha (akt powołujący podawał 53,79 ha). Wokół rezerwat utworzono otulinę o powierzchni 101,66 ha.
Na terenie rezerwatu znajduje się najwyższe wzniesienie Poznania - Góra Moraska oraz małe jezioro polodowcowe o powierzchni 0,2 km2 - Zimna Woda.
Przez rezerwat przebiega szlak turystyczny do Rezerwatu Meteorytów.
Przyroda.
W dominującym na terenie rezerwatu cennym grądzie (lesie dębowo-grabowym) rośnie wiele rzadkich gatunków roślin:
Występują tam również rzadko spotykane ptaki:
Jeziorka zlokalizowane w kraterach poprzerastane są kłębami pędów rogatka krótkoszyjkowego. Przy ich brzegach występuje pałka i turzyca prosowa. Latem akweny pokrywa zwarty kożuch rzęsy wodnej, co uniemożliwia życie w nich ryb (brak tlenu). W kraterach i ich okolicy występują ponadto: kumak nizinny, grzebiuszka ziemna, żaba jeziorkowa, żaba wodna i żaba moczarowa. 
Na terenie łęgu wiązowo-jesionowego (las wilgotny, o żyznej glebie) występuje wilga i dzięcioł duży. W podszycie rośnie czeremcha zwyczajna i leszczyna, a w runie m.in. łuskiewnik różowy, zawilec żółty i ziarnopłon wiosenny.
W rezerwacie wytyczono ścieżkę dydaktyczną. Przez cały rezerwat prowadzi szlak turystyczny, a ciekawe miejsca są opisane za pomocą tablic informacyjnych. Do rozwoju edukacyjnego tego miejsca przyczynia się od 1994 roku Polskie Towarzystwo Ochrony Przyrody ""Salamandra"" z Poznania.
Kratery i meteoryty.
Na terenie rezerwatu znajduje się sześć kraterów, z czego największy ma ok. 90 metrów średnicy i 11,5 m głębokości. Powszechnie uważa się, że jest to pozostałość po upadku meteorytu ok. 5 tysięcy lat temu.
Pierwszy meteoryt na Morasku odnalazł w 1914 roku niemiecki żołnierz podczas budowy umocnień wojskowych. Od tego czasu znaleziono wiele fragmentów (w 1956 odnaleziono meteoryt o masie 78 kg). 
We wrześniu 2006 roku, w wyniku poszukiwań za pomocą wykrywacza metalu prowadzonych na zlecanie naukowców z Instytutu Geologii UAM przez Krzysztofa Sochę, poszukiwacza meteorytów z Kielc, został odnaleziony meteoryt, który po usunięciu zanieczyszczeń waży 164 kg. W owym czasie był to największy meteoryt znaleziony w Polsce. Po dokonaniu badań odkryto, że meteoryt oprócz stopu żelazo-niklu zawiera niewielką ilość krzemianów (pirokseny) nie występujących na Ziemi.
W październiku 2012 roku, na głębokości 2,1 m, dwoje poszukiwaczy z Opola znalazło meteoryt, który po oczyszczeniu z pyłu i warstwy wierzchniej ma wagę 261 kg; trafił do Instytutu Geologii Uniwersytetu Adama Mickiewicza. Jest to największy meteoryt znaleziony w Polsce.
Od roku 2006 władze Uniwersytetu im. Adama Mickiewicza rozważały powstanie centrum edukacyjnego mającego na celu zgromadzenia większej uwagi wokół rezerwatu oraz odnalezionych tam meteorytów.
Na terenie rezerwatu znajduje się głaz narzutowy znaleziony przez rolnika o nazwisku Szeszuła. W czasie orki, zahaczył pługiem o jakiś obiekt i zaczął go wykopywać. Głaz waży ok. 70 ton. Został znaleziony w miejscowości Łęki Wielkie w powiecie grodziskim w gminie Kamieniec.
Wymiary kraterów.
Sześć kraterów oznaczono literami A-F.
Teorie pochodzenia kraterów.
Większość uczonych skłania się obecnie ku teorii o meteorytowym pochodzeniu kraterów. Przemawia za nią fakt znalezienia w ich okolicy fragmentów materii meteorytowej oraz występowanie w ich pobliżu pyłu prawdopodobnie kosmicznego pochodzenia. Po odkryciu kraterów, obok teorii o kosmicznym pochodzeniu, pojawiła się teoria pochodzenia lodowcowego. Uzasadniano ją niezgodnością lokalizacji znajdowanych meteorytów z przewidywanymi lokalizacjami okazów, których spadek miałby spowodować powstanie kraterów oraz nietypowymi kształtami i położeniem kraterów względem siebie. Różne warianty tej teorii biorą pod uwagę m.in. spadek meteorytu na lodowiec z dala od Moraska i ich transport na miejsce obecnego występowania a następnie wyżłobienie zagłębień przez lodowiec (zjawiska transportu meteorytów przez lodowiec występują obecnie na Antarktydzie). Obecnie teoria lodowcowa stanowi pogląd mniejszościowy, ale kwestia pochodzenia kraterów w Morasku nadal nie została ostatecznie rozstrzygnięta. Wciąż prowadzone są także badania mineralogiczne samych meteorytów.
Dojazd.
Do rezerwatu można dojechać autobusem linii 902 z dworca Jana III Sobieskiego lub dostać się korzystając z żółtego szlaku nr 3585.
Zobacz też.
Znane kratery meteorytowe:",astronomia
"Sojuz 22 (kod wywoławczy Iastreb - Jastrząb)- misja kosmiczna poświęcona badaniu Ziemi, wykonana przy pomocy zmodyfikowanej kapsuły Sojuza, przygotowanej uprzednio do roli zapasowego statku w misji Sojuz-Apollo.
Przebieg misji.
Kosmonauci Walerij Bykowski i Władimir Aksionow spędzili na orbicie tydzień, fotografując powierzchnię Ziemi przy pomocy specjalnie skonstruowanej kamery. Ich obserwacje miały pomóc w planowaniu gospodarki ZSRR i NRD oraz w lokalizowaniu złóż surowców naturalnych.
Misja Sojuz 22 charakteryzowała się nietypowym dla programu Sojuz wysokim kątem nachylenia orbity pojazdu - 64,75o. Rosjanie nie korzystali z takiej orbity od czasu programu Woschod. Orbita miała dać maksymalne możliwości obserwacji powierzchni ziemi, ze szczególnym uwzględnieniem Wschodnich Niemiec.
Głównym wyposażeniem pojazdu była skonstruowana w NRD kamera wielozakresowa Carl Zeiss, zamontowana w miejscu modułu dokowania pojazdu. Kamera wyposażona była w sześć obiektywów, z których cztery pracowały w zakresie światła widzialnego, a dwa w podczerwieni. Obiektywy były w stanie fotografować pas o szerokości 165 kilometrów, pokrywając w ciągu 10 minut 500 000 kilometrów kwadratowych. Pierwsze wykonane z orbity zdjęcia przedstawiały konstruowaną linię kolei Bajkał - Amur.
Trzeciego dnia misji załoga sfotografowała Syberię po Morze Ochockie, a także północno-zachodnią część ZSRR. Czwarty dzień poświęcono na badania atmosfery Ziemi - w tym celu wykonano m.in. zdjęcia wschodu i zachodu Księżyca, a także na badania geologiczne i agronomiczne Azji środkowej, Kazachstanu i Syberii. Dzień piąty poświęcono badaniom Azerbejdżanu, południowego Uralu, ponownie kolei Bajkał - Amur i zachodniej Syberii. W tym samym czasie obszary te fotografował samolot An-30, wyposażony w identyczną kamerę, w celu późniejszego porównania zdjęć. Dzień szósty zajęły badania Syberii, północnego ZSRR i jego europejskich republik.
Ostatni, siódmy dzień poświęcono badaniom NRD, gdzie ponownie zdjęcia wykonane ze statku kosmicznego dublował wyposażony w identyczną kamerę samolot. Wykonano także ponownie zdjęcia wcześniej fotografowanych obszarów Azji Środkowej, Kazachstanu, wschodniej Syberii i południowo-zachodniego ZSRR, w celu porównania z wcześniejszymi zdjęciami. Łącznie załoga wykonała ponad 2400 zdjęć 30 obszarów.
Interesujące jest to, że w czasie trwania tej - oficjalnie całkowicie cywilnej - misji, siły NATO prowadziły w Norwegii manewry pod kryptonimem ""Exercise Teamwork"". Położenie ich sprawiało, że znajdowały się poza zasięgiem stacji programu Ałmaz - jednym z zadań Sojuza 22 mogło być obserwowanie tych ćwiczeń.
Po wykonaniu wszystkich zdjęć, kosmonauci musieli zdemontować kamerę, aby wydobyć z niej filtry, potrzebne do późniejszego skalibrowania zdjęć.
Poza wykonywaniem zdjęć, załoga przeprowadziła także kilka eksperymentów biologicznych. Wykorzystując wirówkę, badali rozwój roślin w warunkach sztucznego ciążenia - mieli także akwarium, w którym obserwowali rozwój ryb w stanie nieważkości. Badali także wpływ promieniowania kosmicznego na wzrok. Wpływ promieni na zmysł wzroku został zaobserwowany przez astronautów biorących udział w programie Apollo - po zamknięciu oczu widzieli pod powiekami jasne błyski, wywołane przez przechodzące przez oko promieniowanie kosmiczne.",astronomia
"Teon z Aleksandrii ( ur. ok. 335, zm. ok. 405) - matematyk i astronom pracujący w Aleksandrii. Był ostatnim dyrektorem Biblioteki Aleksandryjskiej, zamkniętej w roku 391 na rozkaz cesarza Teodozjusza. Jego córką była Hypatia z Aleksandrii.
Życie i twórczość.
Daty urodzenia i śmierci są przybliżone i oparte na spekulacjach. Wiadomo, że Teon obserwował zaćmienie Słońca, które miało miejsce w Aleksandrii 16 czerwca 364 roku, i zaćmienie Księżyca 25 listopada tego samego roku. Wiadomo też, że sporządził spis konsulów rzymskich, który doprowadził do roku 372. Z kronik greckich z X wieku wynika, że żył w czasach cesarza Teodozjusza (379-395).
Największym wkładem Teona było opracowanie wersji ""Elementów"" (prawdopodobnie wespół z córką Hypatią), która aż do końca XIX wieku była jedynym znanym greckim tekstem tej księgi. Dzięki porównaniu tekstu Teona z wcześniejszą wersją księgi, odnalezioną w archiwach watykańskich, można dokładnie przeanalizować zmiany, jakie wprowadził Teon. Polegają one głównie na ujednoliceniu terminologii i stylu, choć w kilku miejscach Teon poprawił błędy wcześniejszego tekstu i uprościł oryginalną argumentację.
Teon pisał również komentarze do Almagestu i tablic astronomicznych Ptolemeusza, w których objaśniał sposoby ich używania i konstrukcji. Tutaj znów najprawdopodobniej pomagała mu Hypatia. Pisał również o metodzie Herona przybliżania pierwiastków kwadratowych, nadając jest sens geometryczny.",astronomia
"Multi Unit Spectroscopic Explorer (MUSE) - instrument zainstalowany na należącym do ESO teleskopie głównym nr 1 Bardzo Dużego Teleskopu (VLT) w Obserwatorium Paranal w Chile na początku 2014 r. MUSE jest najnowszym z instrumentów drugiej generacji zaprojektowanym dla VLT (pierwszymi dwoma były X-shooter i KMOS, a kolejnym będzie SPHERE).
Budowa i działanie.
Urządzenie składa się z 24 spektrografów, których zadaniem jest rozdzielanie światła na jego barwy składowe, w celu utworzenia zarówno obrazów, jak i widm wybranych obszarów nieba. W ten sposób powstają trójwymiarowe obrazy Wszechświata z widmem w każdym pikselu jako trzecim wymiarem. Metoda ta, zwana spektroskopią zintegrowanego pola (ang. ""integral field spectroscopy""), pozwala astronomom na jednoczesne zbadanie własności różnych części obiektu takiego jak np. galaktyka, aby określić w jaki sposób rotuje oraz aby zmierzyć jego masę. Pozwala także na ustalenie składu chemicznego w różnych częściach obiektu oraz innych własności fizycznych.
Duży potencjał badawczy MUSE wynika z połączenia urządzenia fotografującego z pomiarowymi możliwościami spektrografu, korzystając jednocześnie z lepszej ostrości obrazów dostarczanych przez system optyki adaptatywnej nazywanej ""GALACSI"".
Instrument został zaprojektowany i wykonany przez konsorcjum MUSE - kierowane przez Centre de Recherche Astrophysique de Lyon z Francji oraz instytuty partnerskie z Niemiec, Szwajcarii, Holandii i Francji.
Cele naukowe.
Instrument MUSE ma służyć przede wszystkim do badań wczesnego Wszechświata, mechanizmów powstawania galaktyk, ma także obserwować ruchy materii w sąsiednich galaktykach i określić ich skład chemiczny. Do innych zastosowań można zaliczyć m.in.: badanie planet i księżyców w Układzie Słonecznym, czy własności rejonów gwiazdotwórczych w Drodze Mlecznej.",astronomia
"Gigantyczny Teleskop Magellana (GMT) - projekt naziemnego teleskopu optycznego, który ma zostać ukończony w 2029 roku. Jego główne zwierciadło będzie składało się z siedmiu segmentów, każdy o średnicy 8,4 m, co pozwoli uzyskać rozdzielczość odpowiadającą pojedynczemu zwierciadłu o średnicy 24,5 m. Teleskop ten ma umożliwić obserwacje z rozdzielczością 10 razy lepszą niż Kosmiczny Teleskop Hubble'a. Koszt przedsięwzięcia wynosi prawie 1 miliard USD.
Projekt jest na wstępnym etapie budowy. W lipcu 2019 roku pięć z siedmiu segmentów głównego zwierciadła było już odlanych. Pozostałe dwa segmenty mają zostać odlane w 2020 i 2021 roku.
Lokalizacja.
Teleskop zostanie wybudowany na wysokości 2514 m n.p.m. w Obserwatorium Las Campanas, w którym znajdują się obecnie Teleskopy Magellana. Miejsce to, położone w górach na terenie pustyni Atakama wyróżnia się bardzo małym zanieczyszczeniem powietrza i zanieczyszczeniem świetlnym jak i wysoką stabilnością atmosfery. Dzięki temu jest jednym z najlepszych miejsc na Ziemi do prowadzenia obserwacji astronomicznych.
Budowa teleskopu.
Teleskop będzie składał się z siedmiu największych w historii zwierciadeł, każde o średnicy 8,417 m. Jedno zwierciadło będzie znajdowało się w centrum, a sześć pozostałych symetrycznie wokół niego. Problemem w takim ułożeniu jest to, że sześć zewnętrznych zwierciadeł nie będzie miało osi symetrii, co oznacza konieczność użycia specjalnych metod szlifowania i testowania.
Każde zwierciadło tworzone jest z 17 ton szkła i po odlaniu musi stygnąć około pół roku, a następnie zostać oszlifowane z dokładnością do 20 nanometrów. Opracowanie i przetestowanie procedury szlifowania pierwszego zwierciadła (niesymetrycznego) trwało ponad 6 lat, zanim zaakceptowano ostateczny rezultat i zatwierdzono szlifowanie kolejnych. Obecnie, w związku z dopracowaniem procedur i przetestowaniu na pierwszym zwierciadle, proces trwa krócej. Wszystkie odlewane i szlifowane są w Uniwersytecie Arizony.
Teleskop będzie wykorzystywał optykę adaptatywną do poprawienia jakości obrazu.
Choć w zamierzeniu teleskop ma posiadać 7 zwierciadeł, może rozpocząć funkcjonowanie już przy 4.
Organizacje.
W skład korporacji budującej GMT wchodzą:
Uniwersytet Harvarda
Uniwersytet Chicagowski
Carnegie Institution for Science
Smithsonian Astrophysical Observatory
Texas A&M University
Uniwersytet Arizony
Uniwersytet Stanu Arizona
Uniwersytet Teksański w Austin
Australijski Uniwersytet Narodowy
Astronomy Australia Limited
Korea Astronomy and Space Science Institute (KASI)
The São Paulo Research Foundation (FAPESP)
Postęp prac
2005 – odlanie pierwszego zwierciadła
Styczeń 2012 – odlanie drugiego zwierciadła
Październik 2012 – ukończono szlifowanie pierwszego zwierciadła
Sierpień 2013 – odlanie trzeciego zwierciadła
Wrzesień 2015 – odlanie czwartego (centralnego) zwierciadła
11 listopada 2015 – uroczystość wmurowania kamienia węgielnego
Listopad 2017 – odlanie piątego zwierciadła
Lipiec 2018 – rozpoczęto prace ziemne na miejscu budowy teleskopu
Czerwiec 2019 – ukończono szlifowanie drugiego zwierciadła
Wrzesień 2023 - rozpoczęto odlewanie siódmego zwierciadła",astronomia
